Amount invested per season,,,
,,,
Row Labels,Sum of Original Ask Amount,Sum of Original Offered Equity,
1,40018.00106,767.08,
2,14123,541.41,
3,14906.7125,513.64,
Grand Total,69047.71356,1822.13,
,,,
Vineeta's Overall ,,,
Row Labels,Sum of Vineeta Investment Amount,Sum of Vineeta Investment Equity,Sum of Vineeta Debt Amount
1,363.62,138.34,30
2,806.98,103.962,199.16
3,954.1625,40.752,65
Grand Total,2124.7625,283.054,294.16
,,,
Row Labels,Sum of Namita Investment Amount,Sum of Namita Investment Equity,Sum of Namita Debt Amount
1,708.6302685,143.586,25
2,1388.88,158.0076,500.16
3,834.33,48.575,92.5
Grand Total,2931.840269,350.1686,617.66
,,,
,,,
Row Labels,Sum of Anupam Investment Amount,Sum of Anupam Investment Equity,Sum of Anupam Debt Amount
1,536.3302685,171.346,15
2,914.83,134.482,82.5
3,768.3225,40.08,117.5
Grand Total,2219.482769,345.908,215
,,,
,,,
Row Labels,Sum of Aman Investment Amount,Sum of Aman Investment Equity,Sum of Aman Debt Amount
1,896.990016,169.246,50
2,1613.05,91.6866,261.16
3,1181.6625,73.64,366.66
Grand Total,3691.702516,334.5726,677.82
,,,
,,,
Row Labels,Sum of Peyush Investment Amount,Sum of Peyush Investment Equity,Sum of Peyush Debt Amount
1,819.6502525,322.84,117
2,1390.73,99.274,225
3,875.0025,82.317,25
Grand Total,3085.382753,504.431,367
,,,
,,,
Row Labels,Sum of Amit Investment Amount,Sum of Amit Investment Equity,Sum of Amit Debt Amount
1,,,
2,800.91,108.9966,145
3,433.49,41.05,100
Grand Total,1234.4,150.0466,245
,,,
,,,
Row Labels,Sum of Ashneer Investment Amount,Sum of Ashneer Investment Equity,Sum of Ashneer Debt Amount
1,539.33,93.24,114
2,,,
3,,,
Grand Total,539.33,93.24,114
,,,
,,,
Row Labels,Sum of Guest Debt Amount,,
1,,,
Ghazal Alagh,,,
Ghazal Alagh,,,
(blank),,,
Ghazal Alagh,,,
(blank),,,
2,47,,
Vikas D Nahar,47,,
Vikas D Nahar,47,,
(blank),,,
Vikas D Nahar,,,
(blank),,,
3,288.32,,
Azhar Iqubal,,,
Azhar Iqubal,,,
"Azhar Iqubal,Radhika Gupta",,,
"Azhar Iqubal,Radhika Gupta",,,
Deepinder Goyal,,,
Deepinder Goyal,,,
Radhika Gupta,,,
"Azhar Iqubal,Radhika Gupta",,,
Ritesh Aggarwal,205,,
Ritesh Aggarwal,145,,
"Ritesh Aggarwal,Radhika Gupta",60,,
"Ritesh Aggarwal,Radhika Gupta",83.32,,
"Ritesh Aggarwal,Radhika Gupta",83.32,,
Ronnie Screwvala,,,
"Ronnie Screwvala,Radhika Gupta",,,
Varun Dua,,,
"Varun Dua,Radhika Gupta",,,
"Varun Dua,Radhika Gupta",,,
"Varun Dua,Radhika Gupta",,,
(blank),,,
Azhar Iqubal,,,
"Azhar Iqubal,Radhika Gupta",,,
Deepinder Goyal,,,
Ritesh Aggarwal,,,
"Ritesh Aggarwal,Radhika Gupta",,,
"Ronnie Screwvala,Radhika Gupta",,,
"Varun Dua,Radhika Gupta",,,
(blank),,,
Grand Total,335.32,,
